Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Name,Team,Min,Ur,Fd,Value,Name,Fpts,Value
41866-15557,C,Andre,Andre Drummond,Drummond,56.24,26,9600,DET@BOS,DET,BOS,,,,,Andre Drummond,DET,36.5,27.21,56.24,5.858333333,Andre Drummond,A,A
41866-49111,C,Joel,Joel Embiid,Embiid,48.74,23,9800,DAL@PHI,PHI,DAL,,,,,Joel Embiid,PHI,33,31.59,48.74,4.973469388,Joel Embiid,A,C
41866-15595,SG,Bradley,Bradley Beal,Beal,47.9,26,9600,WAS@TOR,WAS,TOR,,,,,Bradley Beal,WAS,37.3,33.18,46.9,4.989583333,Bradley Beal,A,A
41866-9535,PG,Kyle,Kyle Lowry,Lowry,46.54,16,8300,WAS@TOR,TOR,WAS,,,,,Kyle Lowry,TOR,37.7,25.68,46.54,5.607228916,Kyle Lowry,A,A
41866-14528,SG,Jimmy,Jimmy Butler,Butler,46.06,24,8900,NY@MIA,MIA,NY,,,,,Jimmy Butler,MIA,35.8,25.54,46.06,5.175280899,Jimmy Butler,A,B
41866-14507,PG,Kemba,Kemba Walker,Walker,45.56,24,8000,DET@BOS,BOS,DET,,,,,Kemba Walker,BOS,36,28.4,45.56,5.695,Kemba Walker,A,A
41866-55062,C,Nikola,Nikola Jokic,Jokic,44.71,26,9500,MIN@DEN,DEN,MIN,,,,,Nikola Jokic,DEN,32.5,24.77,44.71,4.706315789,Nikola Jokic,A,B
41866-80817,PF,Bam,Bam Adebayo,Adebayo,43.56,28,9400,NY@MIA,MIA,NY,,,,,Bam Adebayo,MIA,35,19.53,43.56,4.634042553,Bam Adebayo,B,C
41866-80808,PF,Jayson,Jayson Tatum,Tatum,42.92,25,7600,DET@BOS,BOS,DET,,,,,Jayson Tatum,BOS,36.5,28.2,42.92,5.647368421,Jayson Tatum,B,B
41866-12363,C,Hassan,Hassan Whiteside,Whiteside,42.85,25,8900,ORL@POR,POR,ORL,,,,,Hassan Whiteside,POR,32,19.72,42.85,4.814606742,Hassan Whiteside,A,B
41866-58312,SG,D'Angelo,D'Angelo Russell,Russell,42.83,17,8400,NO@GS,GS,NO,,,,,D'Angelo Russell,GS,32.5,33.59,42.83,5.098809524,D'Angelo Russell,B,C
41866-20848,PG,Damian,Damian Lillard,Lillard,42.66,26,8800,ORL@POR,POR,ORL,,,,,Damian Lillard,POR,36.3,26.67,42.66,4.847727273,Damian Lillard,A,B
41866-59358,PF,Domantas,Domantas Sabonis,Sabonis,41.4,26,8300,SAC@IND,IND,SAC,,,,,Domantas Sabonis,IND,34.4,22.33,41.4,4.987951807,Domantas Sabonis,B,B
41866-9957,PF,Serge,Serge Ibaka,Ibaka,41.04,17,7400,WAS@TOR,TOR,WAS,,,,,Serge Ibaka,TOR,33.2,26.16,41.04,5.545945946,Serge Ibaka,A,A
41866-66048,SF,Brandon,Brandon Ingram,Ingram,40.73,25,8700,NO@GS,NO,GS,,,,,Brandon Ingram,NO,34.5,29.23,40.73,4.681609195,Brandon Ingram,A,B
41866-14514,C,Nikola,Nikola Vucevic,Vucevic,40.7,17,7700,ORL@POR,ORL,POR,,,,,Nikola Vucevic,ORL,31.7,24.18,40.7,5.285714286,Nikola Vucevic,B,A
41866-9663,SG,Jrue,Jrue Holiday,Holiday,40.21,27,8600,NO@GS,NO,GS,,,,,Jrue Holiday,NO,36.1,25.4,40.21,4.675581395,Jrue Holiday,A,B
41866-66115,PG,Ben,Ben Simmons,Simmons,40.05,27,7900,DAL@PHI,PHI,DAL,,,,,Ben Simmons,PHI,36.6,18.78,40.05,5.069620253,Ben Simmons,B,B
41866-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,39.92,24,8000,SAC@IND,IND,SAC,,,,,Malcolm Brogdon,IND,34.4,25.11,39.92,4.99,Malcolm Brogdon,B,C
41866-63122,PF,Kristaps,Kristaps Porzingis,Porzingis,39.9,26,8900,DAL@PHI,DAL,PHI,,,,,Kristaps Porzingis,DAL,34,28.89,39.9,4.483146067,Kristaps Porzingis,A,B
41866-9623,PG,Chris,Chris Paul,Paul,38.91,27,8100,PHO@OKC,OKC,PHO,,,,,Chris Paul,OKC,33,21.78,38.91,4.803703704,Chris Paul,B,B
41866-110344,PG,Ja,Ja Morant,Morant,37.38,22,7600,MEM@CLE,MEM,CLE,,,,,JA Morant,MEM,31.6,26.83,37.38,4.918421053,Ja Morant,B,B
41866-49116,SG,Andrew,Andrew Wiggins,Wiggins,36.78,22,7900,MIN@DEN,MIN,DEN,,,,,Andrew Wiggins,MIN,36.5,29.07,36.78,4.655696203,Andrew Wiggins,B,C
41866-14518,SF,Tobias,Tobias Harris,Harris,36.73,29,7300,DAL@PHI,PHI,DAL,,,,,Tobias Harris,PHI,35.5,23.96,36.73,5.031506849,Tobias Harris,B,C
41866-67026,SF,Jaylen,Jaylen Brown,Brown,36.07,22,6800,DET@BOS,BOS,DET,,,,,Jaylen Brown,BOS,35.5,23.01,36.07,5.304411765,Jaylen Brown,B,A
41866-14496,PG,Ricky,Ricky Rubio,Rubio,35.69,22,7400,PHO@OKC,PHO,OKC,,,,,Ricky Rubio,PHO,33.1,20.94,35.69,4.822972973,Ricky Rubio,B,B
41866-23169,C,Steven,Steven Adams,Adams,35.3,24,6300,PHO@OKC,OKC,PHO,,,,,Steven Adams,OKC,28.6,17.51,35.3,5.603174603,Steven Adams,B,A
41866-19067,SG,CJ,CJ McCollum,McCollum,35.06,28,7500,ORL@POR,POR,ORL,,,,,CJ McCollum,POR,36.5,24.13,35.06,4.674666667,CJ McCollum,B,C
41866-84680,SG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,34.93,27,6700,PHO@OKC,OKC,PHO,,,,,Shai Gilgeous-Alexander,OKC,35.6,24.94,34.93,5.213432836,Shai Gilgeous-Alexander,B,B
41866-66108,PG,Jamal,Jamal Murray,Murray,34.56,26,6800,MIN@DEN,DEN,MIN,,,,,Jamal Murray,DEN,32.5,24.77,34.56,5.082352941,Jamal Murray,B,B
41866-9874,PF,Kevin,Kevin Love,Love,34.23,24,6800,MEM@CLE,CLE,MEM,,,,,Kevin Love,CLE,30.8,22.87,34.23,5.033823529,Kevin Love,B,A
41866-14501,C,Tristan,Tristan Thompson,Thompson,33.62,27,6200,MEM@CLE,CLE,MEM,,,,,Tristan Thompson,CLE,32,19.39,33.62,5.422580645,Tristan Thompson,B,A
41866-17333,SF,Will,Will Barton,Barton,33.62,24,6400,MIN@DEN,DEN,MIN,,,,,Will Barton,DEN,33.5,19.32,33.62,5.253125,Will Barton,B,B
41866-42669,PF,Julius,Julius Randle,Randle,33.26,28,6700,NY@MIA,NY,MIA,,,,,Julius Randle,NY,32,26.7,33.26,4.964179104,Julius Randle,B,B
41866-9475,PG,Derrick,Derrick Rose,Rose,33.22,23,5900,DET@BOS,DET,BOS,,,,,Derrick Rose,DET,28.4,33.26,33.22,5.630508475,Derrick Rose,C,C
41866-9637,SF,Danilo,Danilo Gallinari,Gallinari,33.04,26,6500,PHO@OKC,OKC,PHO,,,,,Danilo Gallinari,OKC,31.5,24.12,33.04,5.083076923,Danilo Gallinari,B,B
41866-80811,SF,Jonathan,Jonathan Isaac,Isaac,30.66,26,5600,ORL@POR,ORL,POR,,,,,Jonathan Isaac,ORL,32,17.07,32.66,5.475,Jonathan Isaac,B,A
41866-80810,PG,De'Aaron,De'Aaron Fox,Fox,32.58,10,6700,SAC@IND,SAC,IND,,,,,De'Aaron Fox,SAC,30.7,27.05,32.58,4.862686567,De'Aaron Fox,C,C
41866-84690,PG,Jalen,Jalen Brunson,Brunson,32.2,27,5700,DAL@PHI,DAL,PHI,,,,,Jalen Brunson,DAL,32.3,22.92,32.2,5.649122807,Jalen Brunson,B,A
41866-84683,PF,Jaren,Jaren Jackson,Jackson,32.07,27,6700,MEM@CLE,MEM,CLE,,,,,Jaren Jackson,MEM,28.9,23.82,32.07,4.786567164,Jaren Jackson,B,B
41866-58153,SF,Kelly,Kelly Oubre,Oubre,32.05,27,6100,PHO@OKC,PHO,OKC,,,,,Kelly Oubre,PHO,35.1,22.01,32.05,5.254098361,Kelly Oubre,B,A
41866-9453,PF,Al,Al Horford,Horford,31.92,25,6500,DAL@PHI,PHI,DAL,,,,,Al Horford,PHI,31.3,16.92,31.92,4.910769231,Al Horford,B,B
41866-15860,PF,Draymond,Draymond Green,Green,31.12,19,6700,NO@GS,GS,NO,,,,0,Draymond Green,GS,29.6,16.89,31.12,4.644776119,Draymond Green,C,D
41866-14543,PF,Davis,Davis Bertans,Bertans,30.95,26,6400,WAS@TOR,WAS,TOR,,,,,Davis Bertans,WAS,33.5,18.28,30.95,4.8359375,Davis Bertans,B,A
41866-9446,PG,Jeff,Jeff Teague,Teague,30.89,22,5700,MIN@DEN,MIN,DEN,,,,,Jeff Teague,MIN,33,20.91,30.89,5.419298246,Jeff Teague,C,A
41866-68090,SF,OG,OG Anunoby,Anunoby,30.58,26,5700,WAS@TOR,TOR,WAS,,,,,OG Anunoby,TOR,35.2,15.69,30.58,5.364912281,OG Anunoby,B,A
41866-14503,C,Jonas,Jonas Valanciunas,Valanciunas,29.91,26,6600,MEM@CLE,MEM,CLE,,,,,Jonas Valanciunas,MEM,25.5,20.9,29.91,4.531818182,Jonas Valanciunas,B,A
41866-84709,C,Mitchell,Mitchell Robinson,Robinson,29.65,24,6300,NY@MIA,NY,MIA,,,,,Mitchell Robinson,NY,26,15.28,29.65,4.706349206,Mitchell Robinson,C,B
41866-23665,SG,Buddy,Buddy Hield,Hield,29.49,27,6800,SAC@IND,SAC,IND,,,,,Buddy Hield,SAC,33.3,26.95,29.49,4.336764706,Buddy Hield,B,C
41866-40201,SG,Dennis,Dennis Schroder,Schroder,29.37,27,5900,PHO@OKC,OKC,PHO,,,,,Dennis Schroder,OKC,30,27.58,29.37,4.977966102,Dennis Schroder,C,B
41866-9508,SF,Carmelo,Carmelo Anthony,Anthony,29.28,14,6500,ORL@POR,POR,ORL,,,,,Carmelo Anthony,POR,34,23.29,29.28,4.504615385,Carmelo Anthony,B,B
41866-20491,PF,Robert,Robert Covington,Covington,28.88,25,5700,MIN@DEN,MIN,DEN,,,,,Robert Covington,MIN,29.4,21.4,28.88,5.066666667,Robert Covington,C,C
