Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Min Deviation,Max Deviation,Min Exposure,Max Exposure,Name,Min,Ur,Fd,Value
41843-40199,SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,64.71,27,11200,LAL@MIL,MIL,LAL,,,,,,,,Giannis Antetokounmpo,33.3,41.68,64.71,5.777678571
41843-9644,SG,James,James Harden,Harden,56.32,27,11400,HOU@LAC,HOU,LAC,,,,,,,,James Harden,37.5,35.65,56.32,4.940350877
41843-66113,SG,Donovan,Donovan Mitchell,Mitchell,43.64,27,8600,UTA@ATL,UTA,ATL,,,,,,,,Donovan Mitchell,35.2,33.89,43.64,5.074418605
41843-84671,PG,Trae,Trae Young,Young,49.62,27,9900,UTA@ATL,ATL,UTA,,,,,,,,Trae Young,36,33.47,49.62,5.012121212
41843-9642,PG,Russell,Russell Westbrook,Westbrook,48.06,24,9300,HOU@LAC,HOU,LAC,,,,,,,,Russell Westbrook,35.7,33.14,48.06,5.167741935
41843-14513,PF,Kawhi,Kawhi Leonard,Leonard,50.78,21,9400,HOU@LAC,LAC,HOU,,,,,,,,Kawhi Leonard,33.5,32.97,50.78,5.40212766
41843-9488,SF,LeBron,LeBron James,James,47.88,28,10300,LAL@MIL,LAL,MIL,,,,,,,,LeBron James,35.5,32.22,47.88,4.648543689
41843-15542,PG,Spencer,Spencer Dinwiddie,Dinwiddie,39.46,27,8000,BKN@SA,BKN,SA,,,,,,,,Spencer Dinwiddie,33.6,31.5,39.46,4.9325
41843-15755,PF,Anthony,Anthony Davis,Davis,52.12,26,10200,LAL@MIL,LAL,MIL,,,,,,,,Anthony Davis,35.1,30.45,52.12,5.109803922
41843-12341,SF,Paul,Paul George,George,43.54,18,9100,HOU@LAC,LAC,HOU,,,,,,,,Paul George,33.5,29.35,43.54,4.784615385
41843-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,34.8,26,6600,UTA@ATL,UTA,ATL,,,,,,,,Bojan Bogdanovic,34.3,27.93,34.8,5.272727273
41843-9662,SG,Lou,Lou Williams,Williams,28.74,27,5500,HOU@LAC,LAC,HOU,,,,,,,,Lou Williams,26.2,27.64,28.74,5.225454545
41843-16261,SG,Khris,Khris Middleton,Middleton,33.69,21,6400,LAL@MIL,MIL,LAL,,,,,,,,Khris Middleton,28.9,25.93,33.69,5.2640625
41843-9714,SG,DeMar,DeMar DeRozan,DeRozan,37.72,26,7000,BKN@SA,SA,BKN,,,,,,,,DeMar DeRozan,34.6,25.36,37.72,5.388571429
