Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41852-13767,D,Aaron,Aaron Ness,Ness,4.84467,16,3500,MIN@ARI,ARI,MIN,,,,0,3
41852-97024,D,Adam,Adam Boqvist,Boqvist,7.17267,11,3500,CHI@WPG,CHI,WPG,,,,,3
41852-82849,C,Adam,Adam Gaudette,Gaudette,7.27447,25,3500,VGK@VAN,VAN,VGK,,,,,3
41852-15346,C,Adam,Adam Lowry,Lowry,7.96707,32,3400,CHI@WPG,WPG,CHI,,,,,3
41852-53866,D,Adam,Adam Pelech,Pelech,5.24413,32,3500,NYI@BOS,NYI,BOS,,,,,2
41852-62429,W,Adrian,Adrian Kempe,Kempe,8.4802,35,3800,LA@CBJ,LA,CBJ,,,,0,4
41852-73885,W,Alex,Alex DeBrincat,DeBrincat,12.4926,35,5900,CHI@WPG,CHI,WPG,,,,,3
41852-8611,D,Alex,Alex Goligoski,Goligoski,7.41947,36,4500,MIN@ARI,ARI,MIN,,,,,2
41852-79935,W,Alex,Alex Iafallo,Iafallo,9.673,36,4200,LA@CBJ,LA,CBJ,,,,,1
41852-21523,W,Alex,Alex Killorn,Killorn,10.1839,30,4900,DAL@TB,TB,DAL,,,,,2
41852-70906,W,Alex,Alex Nylander,Nylander,7.00873,34,3400,CHI@WPG,CHI,WPG,,,,,2
41852-70168,W,Alex,Alex Tuch,Tuch,11.2607,20,4200,VGK@VAN,VGK,VAN,,,,,3
41852-21546,W,Alexander,Alexander Radulov,Radulov,10.2549,34,6500,DAL@TB,DAL,TB,,,,,1
41852-54743,C,Alexander,Alexander Wennberg,Wennberg,6.96067,33,3300,LA@CBJ,CBJ,LA,,,,,3
41852-84407,W,Alexandre,Alexandre Texier,Texier,5.1564,30,3900,LA@CBJ,CBJ,LA,,,,,2
41852-80481,W,Anders,Anders Bjork,Bjork,4.28087,27,3400,NYI@BOS,BOS,NYI,,,,,3
41852-39238,W,Anders,Anders Lee,Lee,9.2058,32,6500,NYI@BOS,NYI,BOS,,,,,3
41852-42833,W,Andre,Andre Burakovsky,Burakovsky,10.2239,31,4400,CAR@COL,COL,CAR,,,,,1
41852-68664,D,Andreas,Andreas Englund,Englund,6.756,2,3500,NSH@OTT,OTT,NSH,,,,0,3
41852-85470,W,Andrei,Andrei Svechnikov,Svechnikov,10.6393,34,6300,CAR@COL,CAR,COL,,,,,1
41852-54565,G,Andrei,Andrei Vasilevskiy,Vasilevskiy,20.5275,24,8800,DAL@TB,TB,DAL,,,,,
41852-9011,D,Andrej,Andrej Sekera,Sekera,4.19067,31,3500,DAL@TB,DAL,TB,,,,0,3
41852-8357,W,Andrew,Andrew Cogliano,Cogliano,4.92933,34,3200,DAL@TB,DAL,TB,,,,,3
41852-66756,W,Andrew,Andrew Mangiapane,Mangiapane,5.915,34,3200,MON@CGY,CGY,MON,,,,,2
41852-15365,W,Andy,Andy Andreoff,Andreoff,6.07153,7,3000,BUF@PHI,PHI,BUF,,,,0,4
41852-66686,W,Anthony,Anthony Beauvillier,Beauvillier,7.0142,32,4800,NYI@BOS,NYI,BOS,,,,,2
41852-21732,D,Anthony,Anthony Bitetto,Bitetto,4.79407,24,3500,CHI@WPG,WPG,CHI,,,,0,3
41852-66713,C,Anthony,Anthony Cirelli,Cirelli,7.50667,31,4800,DAL@TB,TB,DAL,,,,,2
41852-43120,W,Anthony,Anthony Duclair,Duclair,10.4987,35,4900,NSH@OTT,OTT,NSH,,,,,2
41852-15333,W,Antoine,Antoine Roussel,Roussel,5.95873,7,3400,VGK@VAN,VAN,VGK,,,,,3
