Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41885-55607,D,Aaron,Aaron Ekblad,Ekblad,10.62,32,4800,DAL@FLA,FLA,DAL,,,,,1
41885-103940,D,Adam,Adam Fox,Fox,7.99,33,4000,TOR@NYR,NYR,TOR,,,,0,3
41885-14564,D,Adam,Adam Larsson,Larsson,6.64,15,3500,PIT@EDM,EDM,PIT,,,,0,1
41885-41393,C,Aleksander,Aleksander Barkov,Barkov,14.63,33,7500,DAL@FLA,FLA,DAL,,,,,1
41885-21755,W,Alex,Alex Chiasson,Chiasson,7.24,32,4000,PIT@EDM,EDM,PIT,,,,0,3
41885-23233,W,Alex,Alex Galchenyuk,Galchenyuk,7.93,25,4300,PIT@EDM,PIT,EDM,,,,0,3
41885-8718,W,Alex,Alex Ovechkin,Ovechkin,19.41,35,8300,WSH@NJ,WSH,NJ,,,,,1
41885-82094,G,Alexandar,Alexandar Georgiev,Georgiev,17.08,16,7900,TOR@NYR,NYR,TOR,,,,,
41885-82179,C,Alexander,Alexander Kerfoot,Kerfoot,8.18,30,3700,TOR@NYR,TOR,NYR,,,,0,3
41885-21546,W,Alexander,Alexander Radulov,Radulov,12.15,35,6500,DAL@FLA,DAL,FLA,,,,,1
41885-9011,D,Andrej,Andrej Sekera,Sekera,4.76,32,3500,DAL@FLA,DAL,FLA,,,,0,3
41885-8357,W,Andrew,Andrew Cogliano,Cogliano,5.07,35,3200,DAL@FLA,DAL,FLA,,,,0,3
41885-8490,D,Andy,Andy Greene,Greene,6.95,29,3500,WSH@NJ,NJ,WSH,,,,0,1
41885-8918,D,Anton,Anton Stralman,Stralman,6.45,33,3700,DAL@FLA,FLA,DAL,,,,0,2
41885-62493,W,Artemi,Artemi Panarin,Panarin,16.29,33,8600,TOR@NYR,NYR,TOR,,,,,2
41885-70899,C,Auston,Auston Matthews,Matthews,18.73,35,8300,TOR@NYR,TOR,NYR,,,,,2
41885-8883,G,Ben,Ben Bishop,Bishop,18.64,24,8700,DAL@FLA,DAL,FLA,,,,,
41885-66600,W,Blake,Blake Coleman,Coleman,8.68,33,4400,WSH@NJ,NJ,WSH,,,,0,2
41885-8503,W,Blake,Blake Comeau,Comeau,5.58,22,3600,DAL@FLA,DAL,FLA,,,,0,3
41885-62294,D,Brady,Brady Skjei,Skjei,8.21,32,3800,TOR@NYR,NYR,TOR,,,,0,1
41885-68646,W,Brandon,Brandon Tanev,Tanev,7.4,34,3700,PIT@EDM,PIT,EDM,,,,0,4
41885-40019,W,Brendan,Brendan Leipsic,Leipsic,5.05,35,3400,WSH@NJ,WSH,NJ,,,,0,4
41885-58678,W,Brendan,Brendan Lemieux,Lemieux,7.69,31,3500,TOR@NYR,NYR,TOR,,,,0,3
41885-12259,D,Brendan,Brendan Smith,Smith,3.84,33,3500,TOR@NYR,NYR,TOR,,,,0,4
41885-12449,W,Brett,Brett Connolly,Connolly,9.61,33,4300,DAL@FLA,FLA,DAL,,,,,1
41885-70925,C,Brett,Brett Howden,Howden,5.48,33,3400,TOR@NYR,NYR,TOR,,,,0,4
41885-8517,C,Brian,Brian Boyle,Boyle,6.59,24,3500,DAL@FLA,FLA,DAL,,,,0,3
41885-54477,W,Bryan,Bryan Rust,Rust,14.23,20,5600,PIT@EDM,PIT,EDM,,,,,1
41885-66636,D,Caleb,Caleb Jones,Jones,5.15,14,3500,PIT@EDM,EDM,PIT,,,,0,3
41885-15357,W,Carl,Carl Hagelin,Hagelin,6.23,24,3200,WSH@NJ,WSH,NJ,,,,0,3
41885-39309,D,Chad,Chad Ruhwedel,Ruhwedel,5.14,11,3600,PIT@EDM,PIT,EDM,,,,0,3
41885-21927,W,Chris,Chris Kreider,Kreider,11.92,33,5500,TOR@NYR,NYR,TOR,,,,,1
41885-37883,D,Cody,Cody Ceci,Ceci,6.43,35,3500,TOR@NYR,TOR,NYR,,,,0,3
41885-8992,W,Colton,Colton Sceviour,Sceviour,6.09,33,3200,DAL@FLA,FLA,DAL,,,,0,4
41885-64102,C,Connor,Connor McDavid,McDavid,19.27,37,9100,PIT@EDM,EDM,PIT,,,,,1
41885-8142,W,Corey,Corey Perry,Perry,6.31,29,3400,DAL@FLA,DAL,FLA,,,,0,4
41885-43152,D,Damon,Damon Severson,Severson,6.28,33,3900,WSH@NJ,NJ,WSH,,,,0,3
41885-42910,D,Darnell,Darnell Nurse,Nurse,10.01,37,4300,PIT@EDM,EDM,PIT,,,,,2
41885-70511,W,Denis,Denis Gurianov,Gurianov,5.79,31,3500,DAL@FLA,DAL,FLA,,,,0,4
41885-73981,W,Denis,Denis Malgin,Malgin,5.63,28,3100,DAL@FLA,FLA,DAL,,,,0,
41885-13472,D,Dmitry,Dmitry Orlov,Orlov,8.14,35,4400,WSH@NJ,WSH,NJ,,,,,2
41885-66719,W,Dmytro,Dmytro Timashov,Timashov,4.86,23,3200,TOR@NYR,TOR,NYR,,,,0,4
41885-82180,W,Dominic,Dominic Toninato,Toninato,4.18,15,3100,DAL@FLA,FLA,DAL,,,,0,4
41885-83096,W,Dominik,Dominik Kahun,Kahun,7.84,33,3900,PIT@EDM,PIT,EDM,,,,,2
